RSM Zip,"City, ST, Zip",Lat,Long, Factor 
21201,"Baltimore, MD 21201", 39.29487 , (76.62237), 0.936 
63801,"Sikeston, MO 63801", 36.89698 , (89.60672), 0.936 
18801,"Montrose, PA 18801", 41.82861 , (75.94370), 0.936 
16301,"Oil City, PA 16301", 41.45596 , (79.64946), 0.936 
24901,"Lewisburg, WV 24901", 37.85298 , (80.47598), 0.936 
97918,"Vale, OR 97918", 43.96255 , (117.38073), 0.935 
26624,"Gassaway, WV 26624", 38.72071 , (80.80883), 0.935 
26847,"Petersburg, WV 26847", 38.95809 , (79.15189), 0.935 
26101,"Parkersburg, WV 26101", 39.23394 , (81.57483), 0.934 
18701,"Wilkes Barre, PA 18701", 41.24330 , (75.88523), 0.934 
52801,"Davenport, IA 52801", 41.52082 , (90.57483), 0.933 
54401,"Wausau, WI 54401", 44.96647 , (89.70794), 0.932 
17601,"Lancaster, PA 17601", 40.07296 , (76.31457), 0.932 
43604,"Toledo, OH 43604", 41.65217 , (83.53977), 0.932 
18201,"Hazleton, PA 18201", 40.95198 , (75.95395), 0.931 
16901,"Wellsboro, PA 16901", 41.73038 , (77.31841), 0.931 
48906,"Lansing, MI 48906", 42.78489 , (84.58886), 0.930 
21401,"Annapolis, MD 21401", 38.98967 , (76.55050), 0.930 
53901,"Portage, WI 53901", 43.55606 , (89.48606), 0.929 
05401,"Burlington, VT 05401", 44.47484 , (73.21758), 0.927 
22201,"Arlington, VA 22201", 38.88684 , (77.09501), 0.926 
17201,"Chambersburg, PA 17201", 39.96229 , (77.65677), 0.925 
03801,"Portsmouth, NH 03801", 43.07293 , (70.80520), 0.925 
25801,"Beckley, WV 25801", 37.83805 , (81.27017), 0.923 
45601,"Chillicothe, OH 45601", 39.30996 , (82.95550), 0.923 
17901,"Pottsville, PA 17901", 40.69364 , (76.25526), 0.922 
43085,"Columbus, OH 43085", 40.09959 , (83.01639), 0.921 
45701,"Athens, OH 45701", 39.31205 , (82.08079), 0.920 
04330,"Augusta, ME 04330", 44.36387 , (69.73729), 0.920 
44301,"Akron, OH 44301", 41.04398 , (81.52449), 0.919 
43952,"Steubenville, OH 43952", 40.39763 , (80.66278), 0.919 
54017,"New Richmond, WI 54017", 45.11907 , (92.52091), 0.919 
