Id,Brand,Rooms,Floors,Rooms/ Typ_Floor,KS,QQ,K1,ADA, Total Building GSF ,, Construction_Costs , Building_Cost , 03_Concrete , 04_Masonry , 05_Metal , 06_Wood_Plastics , 07_Thermal_Moisture , 08_Openings , 09_Finishes , 10_Specialties , 11_Equipment , 12_Furnishing , 13_Special_Construction , 14_Conveying_Equipment , 21_Fire , 22_Plumbing , 23_HVAC , 26_Electrical , Site_Work , 31_Earthwork , 32_Exteriors , 33_Utilities , GC_Charges , 01_General_Requirements , Charges_Fees 
Home2-182-3,Home2,182,3,65,155,12,15,14," 96,377.05 ",," $26,473,699 "," $19,176,341 "," $776,728 "," $220,241 "," $1,317,147 "," $3,522,473 "," $1,185,123 "," $1,116,915 "," $3,809,694 ", $-   ," $114,000 "," $872,924 "," $234,910 "," $248,468 "," $424,482 "," $2,219,582 "," $989,316 "," $2,124,339 "," $3,100,083 "," $799,480 "," $1,139,043 "," $1,161,560 "," $4,197,275 "," $1,420,630 "," $2,776,645 "
Home2-185-3,Home2,185,3,66,158,12,15,14," 97,726.57 ",," $26,827,228 "," $19,429,651 "," $786,748 "," $221,645 "," $1,330,690 "," $3,571,055 "," $1,201,557 "," $1,131,488 "," $3,866,521 ", $-   ," $114,000 "," $886,489 "," $234,910 "," $248,468 "," $430,186 "," $2,252,192 "," $999,816 "," $2,153,887 "," $3,144,233 "," $810,838 "," $1,155,279 "," $1,178,117 "," $4,253,344 "," $1,439,600 "," $2,813,743 "
Home2-188-3,Home2,188,3,67,161,12,15,14," 99,076.09 ",," $27,180,740 "," $19,682,947 "," $796,768 "," $223,049 "," $1,344,235 "," $3,619,637 "," $1,217,987 "," $1,146,062 "," $3,923,335 ", $-   ," $114,000 "," $900,053 "," $234,910 "," $248,468 "," $435,890 "," $2,284,803 "," $1,010,316 "," $2,183,436 "," $3,188,383 "," $822,195 "," $1,171,515 "," $1,194,674 "," $4,309,410 "," $1,458,569 "," $2,850,840 "
Home2-191-3,Home2,191,3,68,164,12,15,14," 100,425.61 ",," $27,536,139 "," $19,937,834 "," $806,788 "," $224,452 "," $1,357,780 "," $3,668,597 "," $1,234,421 "," $1,161,835 "," $3,980,158 ", $-   ," $114,000 "," $913,618 "," $234,910 "," $248,468 "," $441,594 "," $2,317,413 "," $1,020,816 "," $2,212,984 "," $3,232,533 "," $833,552 "," $1,187,750 "," $1,211,230 "," $4,365,773 "," $1,477,640 "," $2,888,133 "
Home2-194-3,Home2,194,3,69,167,12,15,14," 101,775.13 ",," $27,889,688 "," $20,191,161 "," $816,809 "," $225,856 "," $1,371,327 "," $3,717,180 "," $1,250,857 "," $1,176,409 "," $4,036,993 ", $-   ," $114,000 "," $927,183 "," $234,910 "," $248,468 "," $447,298 "," $2,350,023 "," $1,031,316 "," $2,242,533 "," $3,276,683 "," $844,909 "," $1,203,986 "," $1,227,787 "," $4,421,845 "," $1,496,610 "," $2,925,234 "
Home2-197-3,Home2,197,3,70,170,12,15,14," 103,124.65 ",," $28,243,226 "," $20,444,479 "," $826,829 "," $227,260 "," $1,384,874 "," $3,765,765 "," $1,267,292 "," $1,190,983 "," $4,093,819 ", $-   ," $114,000 "," $940,747 "," $234,910 "," $248,468 "," $453,002 "," $2,382,634 "," $1,041,816 "," $2,272,081 "," $3,320,833 "," $856,267 "," $1,220,222 "," $1,244,344 "," $4,477,915 "," $1,515,581 "," $2,962,334 "
Home2-200-3,Home2,200,3,71,173,12,15,14," 104,474.17 ",," $28,596,755 "," $20,697,789 "," $836,850 "," $228,664 "," $1,398,423 "," $3,814,350 "," $1,283,725 "," $1,205,556 "," $4,150,637 ", $-   ," $114,000 "," $954,312 "," $234,910 "," $248,468 "," $458,705 "," $2,415,244 "," $1,052,316 "," $2,301,630 "," $3,364,983 "," $867,624 "," $1,236,458 "," $1,260,901 "," $4,533,983 "," $1,534,551 "," $2,999,433 "
Home2-67-4,Home2,67,4,20,41,18,8,3," 43,074.49 ",," $12,216,270 "," $9,262,044 "," $357,332 "," $193,590 "," $832,441 "," $1,618,008 "," $496,013 "," $549,018 "," $1,597,876 ", $-   ," $114,000 "," $352,944 "," $234,910 "," $248,468 "," $199,173 "," $933,313 "," $567,566 "," $967,392 "," $1,017,809 "," $263,775 "," $373,327 "," $380,707 "," $1,936,418 "," $655,575 "," $1,280,843 "
Home2-71-4,Home2,71,4,21,45,18,8,3," 44,873.85 ",," $12,661,976 "," $9,592,884 "," $369,707 "," $195,339 "," $849,595 "," $1,681,502 "," $515,345 "," $569,649 "," $1,671,559 ", $-   ," $114,000 "," $371,031 "," $234,910 "," $248,468 "," $206,632 "," $976,793 "," $581,566 "," $1,006,790 "," $1,061,958 "," $275,131 "," $389,563 "," $397,264 "," $2,007,134 "," $679,489 "," $1,327,645 "
Home2-75-4,Home2,75,4,22,49,18,8,7," 46,905.13 ",," $13,149,199 "," $9,952,954 "," $383,376 "," $197,064 "," $867,131 "," $1,749,803 "," $535,711 "," $589,080 "," $1,748,109 ", $-   ," $114,000 "," $389,117 "," $234,910 "," $248,468 "," $215,051 "," $1,035,800 "," $595,566 "," $1,049,768 "," $1,111,788 "," $287,942 "," $407,891 "," $415,955 "," $2,084,457 "," $705,630 "," $1,378,827 "
